"Occupation Title","Occupation Code","Employment 2020","Employment 2030","Employment Change, 2020-2030","Employment Percent Change, 2020-2030","Occupational Openings, 2020-2030 Annual Average","Median Annual Wage 2020","Typical Entry-Level Education","Education Code","Work Experience in a Related Occupation","Workex Code","Typical on-the-job Training","trCode"
"Dietitians and nutritionists    * Clinical Dietitian* Dietitian* Nutritionist* Pediatric Dietician* Public Health Dietitian* Public Health Nutritionist* Research Dietitian* Sports Nutritionist* Therapeutic Dietitian","=""29-1031""","73.0","80.8","7.8","10.7","5.9","63,090","Bachelor's degree","3","None","4","Internship/residency","1"
"Dining room and cafeteria attendants and bartender helpers    * Banquet Set Up Person* Bar Back* Barback* Buffet Attendant* Bus Person* Busser* Lunchroom Attendant","=""35-9011""","389.0","492.5","103.6","26.6","86.5","25,010","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Directors, religious activities and education    * Campus Ministry Director* Christian Education Minister* Education Minister* Parish Religious Education Director* Religious Activities Director* Religious Education Coordinator* Religious Education Director* Student Ministries Director* Youth Ministry Director","=""21-2021""","149.6","152.8","3.2","2.2","17.4","45,110","Bachelor's degree","3","Less than 5 years","2","None","6"
"Dishwashers    * Dish Room Worker* Dishwasher* Silverware Cleaner","=""35-9021""","408.5","486.3","77.8","19.0","78.8","25,270","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Dispatchers, except police, fire, and ambulance    * Airplane Dispatch Clerk* Auto Service Dispatcher* Bus Dispatcher* Crew Dispatcher* Maintenance Dispatcher* School Bus Dispatcher* Taxicab Dispatcher* Tow Truck Dispatcher* Train Dispatcher* Truck Dispatcher","=""43-5032""","192.1","200.4","8.3","4.3","18.7","40,980","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Door-to-door sales workers, news and street vendors, and related workers    * Newspaper Carrier* Newstand Vendor* Peddler* Souvenir Street Vendor","=""41-9091""","54.0","41.0","-13.0","-24.1","4.7","29,730","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Drafters, all other    * Blueprint Tracer* Drafting Layout Worker* Draughtsman* Geological Drafter* Marine Drafter","=""17-3019""","14.4","13.6","-0.8","-5.4","1.2","54,500","Associate's degree","4","None","4","None","6"
"Dredge operators    * Dredge Deckhand* Dredge Engineer* Dredge Mate* Dredge Operator* Dredger","=""53-7031""","2.0","2.1","0.1","5.2","0.3","49,210","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic    * Bore Mill Operator for Plastic* Boring Mill Operator for Metal* Drill Press Operator for Metal* Horizontal Boring Mill Operator for Metal* Radial Drill Operator for Plastic* Radial Drill Press Operator for Plastic* Reaming Machine Operator for Plastic","=""51-4032""","9.1","7.7","-1.4","-15.5","0.7","39,780","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Driver/sales workers    * Bakery Deliverer* Bobtailer* Delivery Sales worker* Newspaper Deliverer* Newspaper Delivery Driver* Pizza Delivery Driver* Route Sales Person* Route Salesperson* Sales Route Driver","=""53-3031""","458.2","540.0","81.9","17.9","62.5","27,960","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Drywall and ceiling tile installers    * Acoustical Ceiling Installer* Drywall Applicator* Drywall Finisher* Drywall Hanger* Drywall Installer* Drywall Sander* Drywall Stripper* Drywall Worker* Sheet Rock Applier* Sheet Rock Hanger* Sheet Rock Installer* Sheet Rock Worker","=""47-2081""","121.2","127.2","6.0","4.9","10.7","47,460","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Earth drillers, except oil and gas; and explosives workers, ordnance handling experts, and blasters","=""47-5097""","23.2","25.1","1.8","8.0","3.0","48,510","High school diploma or equivalent","7","Less than 5 years","2","Long-term on-the-job training","3"
"Economics teachers, postsecondary    * Agricultural Economics Professor* Econometrics Professor* Industrial Economics Professor* Labor Economics Professor* Macroeconomics Professor* Microeconomics Professor","=""25-1063""","16.0","17.4","1.4","9.0","1.7","107,260","Doctoral or professional degree","1","None","4","None","6"
"Economists    * Agricultural Economist* Econometrician* Economic Development Specialist* Economic Research Analyst* Economist* Environmental Economist* Industrial Economist* Labor Economist* Price Economist* Social Economist* Tax Economist* Trade Economist","=""19-3011""","18.6","21.0","2.4","13.1","1.6","108,350","Master's degree","2","None","4","None","6"
"Editors    * Advertising Editor* Art Editor* Book Editor* Copy Desk Chief* Copy Editor* Index Editor* Manuscript Editor* Newspaper Photo Editor* Publications Editor* Rewrite Editor* Scientific Publications Editor* Sports Editor* Technical Editor","=""27-3041""","108.6","114.1","5.6","5.1","11.2","63,400","Bachelor's degree","3","Less than 5 years","2","None","6"
"Education administrators, all other","=""11-9039""","50.5","56.9","6.4","12.6","4.5","87,580","Bachelor's degree","3","Less than 5 years","2","None","6"
"Education administrators, kindergarten through secondary    * Elementary School Principal* High School Principal* Junior High School Principal* K-12 School Principal* K-8 School Principal* Middle School Principal* Secondary School Principal","=""11-9032""","270.2","291.3","21.2","7.8","22.1","98,490","Master's degree","2","5 years or more","1","None","6"
"Education administrators, postsecondary    * Adult Basic Education Manager* Continuing Education Director* Graduate School Dean* Graduate Studies Dean* Provost* University Administrator* University Dean","=""11-9033""","178.8","192.2","13.4","7.5","14.5","97,500","Master's degree","2","Less than 5 years","2","None","6"
"Education and childcare administrators, preschool and daycare    * Childcare Center Administrator* Childcare Center Director* Early Head Start Director* Head Start Director* Prekindergarten Program Coordinator* Preschool Director","=""11-9031""","60.8","67.7","6.9","11.4","5.3","49,160","Bachelor's degree","3","Less than 5 years","2","None","6"
"Education teachers, postsecondary    * Counselor Education Professor* Literacy Education Professor* Mathematics Education Professor* Primary Education Professor* Science Education Professor* Secondary Education Professor* Special Education Professor","=""25-1081""","70.0","75.8","5.8","8.3","7.2","65,440","Doctoral or professional degree","1","Less than 5 years","2","None","6"
"Educational instruction and library workers, all other    * General Educational Development (GED) Examiner* Individualized Education Plan (IEP) Aide* Scholastic Aptitude Test (SAT) Grader","=""25-9099""","157.0","169.5","12.5","8.0","16.4","41,570","Bachelor's degree","3","None","4","None","6"
"Educational, guidance, and career counselors and advisors    * Career Counselor* Career Technical Counselor* Education Counselor* International Student Counselor* School Adjustment Counselor* School Guidance Counselor* Student Advisor* Student Development Advisor* Student Services Counselor* Student Success Counselor* Study Abroad Advisor* Vocational Adviser","=""21-1012""","322.0","359.0","37.0","11.5","35.0","58,120","Master's degree","2","None","4","None","6"
"Electric motor, power tool, and related repairers    * AC/DC Rewinder* Armature Rewinder* Battery Repairer* Dynamo Repairer* Electric Motor Fitter* Electric Motor Rewinder* Electrical Parts Reconditioner","=""49-2092""","17.8","19.1","1.2","6.9","1.9","46,590","High school diploma or equivalent","7","Less than 5 years","2","Moderate-term on-the-job training","4"
"Electrical and electronic engineering technologists and technicians    * Electrical Design Technician* Electrical Engineering Technician* Electrical Power Station Technician* Electronic Instrument Testing Technician* Lighting Engineering Technician* Programmable Logic Controller Programmer* Semiconductor Development Technician","=""17-3023""","117.0","118.9","1.9","1.6","11.0","67,550","Associate's degree","4","None","4","None","6"
"Electrical and electronics drafters    * Circuit Board Drafter* Electrical Computer Aided Design and Drafting Technician* Electrical Drafter* Electrical Systems Drafter* Electronic Drafter* Printed Circuit Board Drafter","=""17-3012""","24.0","24.5","0.6","2.3","2.3","62,100","Associate's degree","4","None","4","None","6"
"Electrical and electronics installers and repairers, transportation equipment    * Locomotive Electrician* Marine Electronics Repairer* Marine Electronics Technician","=""49-2093""","9.1","9.7","0.6","6.7","0.8","70,200","Postsecondary nondegree award","5","None","4","Long-term on-the-job training","3"
"Electrical and electronics repairers, commercial and industrial equipment    * Industrial Aerial Installer* Industrial Robotics Mechanic* Missile Pad Mechanic* Public Address System Mechanic","=""49-2094""","56.4","59.0","2.5","4.5","4.7","62,010","Postsecondary nondegree award","5","None","4","Long-term on-the-job training","3"
"Electrical and electronics repairers, powerhouse, substation, and relay    * Generating Station Mechanic* Power Transformer Repairer* Powerhouse Electrician* Protective Relay Technician* Relay Technician* Substation Electrician* Substation Mechanic","=""49-2095""","23.1","22.5","-0.5","-2.4","1.7","85,340","Postsecondary nondegree award","5","Less than 5 years","2","Moderate-term on-the-job training","4"
"Electrical engineers    * Electrical Design Engineer* Electrical Engineer* Electrical Systems Engineer* Illuminating Engineer* Power Distribution Engineer","=""17-2071""","188.0","200.7","12.7","6.8","13.7","100,830","Bachelor's degree","3","None","4","None","6"
"Electrical power-line installers and repairers    * Electric Powerline Examiner* Electric Utility Lineworker* Electrical High Tension Tester* Electrical Lineworker* Power Lineworker* Underground Conduit Installer","=""49-9051""","115.9","117.4","1.5","1.3","10.2","75,030","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers","=""51-2028""","284.8","304.4","19.5","6.9","32.7","36,390","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Electricians    * Chief Electrician* Control Electrician* Electrical Maintenance Worker* Electrical Sign Wirer* House Wirer* Licensed Electrician* Lighting Fixture Installer* Marine Electrician* Master Electrician* Solar Photovoltaic Electrician* Stage Electrician","=""47-2111""","729.6","795.7","66.1","9.1","84.7","56,900","High school diploma or equivalent","7","None","4","Apprenticeship","2"
"Electro-mechanical and mechatronics technologists and technicians    * Remotely Piloted Vehicle Engineering Technician* Robotics Testing Technician","=""17-3024""","13.4","13.1","-0.2","-1.7","1.2","59,800","Associate's degree","4","None","4","None","6"
"Electronic equipment installers and repairers, motor vehicles    * Auto Electrician* Auto Phone Installer* Auto Radio Mechanic* Automotive Electrician* Car Alarm Installer* Car Stereo Installer* GPS Car Navigation Installer* Mobile Electronics Installation Specialist","=""49-2096""","10.2","8.5","-1.6","-16.2","0.6","39,570","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Electronics engineers, except computer    * Antenna Engineer* Circuit Design Engineer* Electronic Design Automation Engineer* Electronic Engineer* Electronic Parts Designer* Telecommunication Engineer","=""17-2072""","125.2","132.9","7.7","6.2","9.0","107,540","Bachelor's degree","3","None","4","None","6"
"Elementary school teachers, except special education    * 3rd Grade Reading Teacher* 4th Grade Math Teacher* Elementary School Band Director* Elementary School Teacher* Grades 1 Thru 5 Teacher","=""25-2021""","1,371.1","1,472.9","101.7","7.4","110.8","60,940","Bachelor's degree","3","None","4","None","6"
"Elevator and escalator installers and repairers    * Elevator Adjuster* Elevator Constructor* Elevator Installer* Elevator Mechanic* Elevator Repair and Maintenance Technician* Elevator Service Technician* Escalator Installer* Escalator Mechanic* Escalator Service Mechanic* Freight Elevator Erector* Hydraulic Elevator Constructor","=""47-4021""","24.8","26.3","1.5","6.1","2.5","88,540","High school diploma or equivalent","7","None","4","Apprenticeship","2"
"Eligibility interviewers, government programs    * Medicare Interviewer* Public Housing Interviewer* Social Security Benefits Interviewer* Unemployment Benefits Claims Taker* Welfare Interviewer","=""43-4061""","145.4","150.9","5.6","3.8","13.7","47,110","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Embalmers    * Anatomical Embalmer* Arterial Embalmer* Embalmer Apprentice* Licensed Embalmer* Restorative Art Embalmer","=""39-4011""","5.0","5.0","0.0","-0.6","0.7","47,630","Associate's degree","4","None","4","Long-term on-the-job training","3"
"Emergency management directors    * Director of Civil Defense* Disaster Response Director* EMS Director* Emergency Management System Director* Emergency Planner* Emergency Planning and Response Manager* Emergency Preparedness Coordinator* Emergency Services Director* Emergency Services Program Coordinator* Public Safety Director","=""11-9161""","10.5","11.1","0.7","6.2","1.0","76,250","Bachelor's degree","3","5 years or more","1","None","6"
"Emergency medical technicians and paramedics","=""29-2040""","261.3","289.9","28.6","11.0","20.7","36,650","Postsecondary nondegree award","5","None","4","None","6"
"Engine and other machine assemblers    * Aircraft Engine Assembler* Assembling Motor Builder* Clutch Housing Assembler* Engine Builder* Gas Turbine Assembler* Generator Assembler* Jet Engine Assembler* Machine Builder* Sewing Machine Assembler* Steam Turbine Assembler* Truck Transmission Assembler* Truck Transmission Builder","=""51-2031""","43.7","38.5","-5.1","-11.8","4.0","45,770","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Engineering teachers, postsecondary    * Aeronautical Engineering Professor* Ceramic Engineering Professor* Chemical Engineering Professor* Civil Engineering Professor* Electrical Engineering Professor* Electronics Engineering Professor* Industrial Engineering Professor* Manufacturing Engineering Professor* Marine Engineering Professor* Mechanical Engineering Professor* Petroleum Engineering Professor","=""25-1032""","46.3","52.1","5.8","12.5","5.1","103,600","Doctoral or professional degree","1","None","4","None","6"
"Engineers, all other    * Corrosion Control Engineer* Mathematical Engineer* Optical Engineer* Ordnance Engineer* Photonics Engineer* Salvage Engineer","=""17-2199""","167.1","171.6","4.4","2.7","11.0","103,380","Bachelor's degree","3","None","4","None","6"
"English language and literature teachers, postsecondary    * Children's Literature Professor* Composition Professor* Contemporary English Literature Professor* Creative Writing English Professor* Etymology Professor* Medieval English Literature Professor* Seventeenth-Century English Literature Professor* Victorian Literature Professor","=""25-1123""","75.0","79.6","4.7","6.2","7.5","69,000","Doctoral or professional degree","1","None","4","None","6"
"Entertainment attendants and related workers, all other    * Jockey Valet","=""39-3099""","3.9","5.3","1.4","35.4","1.1","27,230","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Environmental engineering technologists and technicians    * Air Analysis Engineering Technician* Environmental Remediation Engineering Technician* Environmental Technician* Pollution Control Engineering Technician","=""17-3025""","17.3","18.6","1.3","7.8","1.8","51,630","Associate's degree","4","None","4","None","6"
"Environmental engineers    * Air Pollution Control Engineer* Environmental Engineer* Environmental Remediation Engineer* Hazardous Substances Engineer* Hazardous Waste Management Control Engineer* Pollution Control Engineer* Soil Engineer* Waste Management Engineer* Wastewater Treatment Engineer* Water Treatment Plant Engineer","=""17-2081""","52.3","54.3","1.9","3.7","4.0","92,120","Bachelor's degree","3","None","4","None","6"
"Environmental science and protection technicians, including health","=""19-4042""","34.2","37.8","3.6","10.6","4.7","46,850","Associate's degree","4","None","4","None","6"
"Environmental science teachers, postsecondary    * Environmental Science Professor* Environmental Science, Management and Policy Professor* Environmental Studies Professor","=""25-1053""","7.1","7.6","0.5","6.8","0.7","84,740","Doctoral or professional degree","1","None","4","None","6"
"Environmental scientists and specialists, including health    * Ecological Modeler* Environmental Analyst* Environmental Scientist* Hazardous Substances Scientist* Health Environmentalist* Water Pollution Scientist* Water Quality Analyst","=""19-2041""","87.1","94.4","7.3","8.4","9.4","73,230","Bachelor's degree","3","None","4","None","6"
"Epidemiologists    * Clinical Epidemiologist* Communicable Disease Specialist* Environmental Epidemiologist* Epidemiology Investigator* Malariologist* Medical Epidemiologist* Pharmacoepidemiologist","=""19-1041""","7.8","10.2","2.3","29.6","0.9","74,560","Master's degree","2","None","4","None","6"
"Etchers and engravers    * Engraver* Glass Etcher* Laser Engraver* Machine Engraver* Metal Engraver* Pantograph Engraver* Rotary Engraver* Rubber Engraver","=""51-9194""","9.9","10.1","0.2","2.4","1.3","31,790","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Excavating and loading machine and dragline operators, surface mining","=""47-5022""","41.3","43.1","1.8","4.5","5.1","45,150","High school diploma or equivalent","7","Less than 5 years","2","Moderate-term on-the-job training","4"
"Executive secretaries and executive administrative assistants    * Executive Assistant","=""43-6011""","538.8","438.2","-100.6","-18.7","42.1","63,110","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"Exercise physiologists    * Applied Exercise Physiologist* Clinical Exercise Physiologist* Kinesiotherapist","=""29-1128""","18.0","20.4","2.4","13.1","1.5","50,280","Bachelor's degree","3","None","4","None","6"
"Exercise trainers and group fitness instructors    * Aerobics Instructor* Certified Personal Trainer* Fitness Trainer* Group Exercise Instructor* Group Fitness Instructor* Personal Fitness Trainer* Personal Trainer* Weight Trainer* Weight Training Instructor* Yoga Instructor* Yoga Teacher","=""39-9031""","309.8","431.4","121.7","39.3","69.1","40,510","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Extruding and drawing machine setters, operators, and tenders, metal and plastic    * Wire Drawing Machine Tender* Wire Mill Rover","=""51-4021""","70.5","65.2","-5.3","-7.5","6.0","37,530","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers    * Drawbench Operator* Fiber Machine Tender* Synthetic Filament Extruder","=""51-6091""","16.2","15.5","-0.7","-4.3","1.8","37,160","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders    * Bowling Ball Molder* Brick Maker* Cigarette Stamper* Extrusion Press Operator* Paper Baling Machine Operator* Rubber Extrusion Operator* Sugar Presser* Tuber Operator","=""51-9041""","65.6","66.3","0.8","1.2","6.7","36,560","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Fabric and apparel patternmakers    * Clothing Patternmaker* Embroidery Patternmaker* Fabric Pattern Grader","=""51-6092""","4.7","4.2","-0.5","-9.7","0.5","49,680","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Fallers    * Lumberjack* Pulpwood Cutter* Timber Cutter* Timber Faller* Timber Feller","=""45-4021""","5.6","5.5","-0.1","-1.3","0.8","43,190","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Family and consumer sciences teachers, postsecondary    * Family Resource Management Professor* Family and Consumer Sciences Professor* Home and Family Living Professor* Weaving Professor","=""25-1192""","2.6","2.8","0.2","5.8","0.3","72,220","Doctoral or professional degree","1","None","4","None","6"
"Family medicine physicians","=""29-1215""","107.7","113.0","5.3","4.9","3.5","207,380","Doctoral or professional degree","1","None","4","Internship/residency","1"
"Farm and home management educators    * 4-H Youth Development Specialist* Agricultural Agent* Agricultural Extension Educator* Extension Service Advisor* Family Resource Management Specialist* Family and Consumer Sciences Extension Agent* Farm Business Management Agent* Farm Management Specialist* Feed Management Advisor* Home Economics Expert","=""25-9021""","9.3","9.2","-0.1","-1.2","0.8","51,550","Master's degree","2","None","4","None","6"
"Farm equipment mechanics and service technicians    * Agricultural Equipment Mechanic* Combine Mechanic* Dairy Equipment Mechanic* Dairy Equipment Repairer* Harvester Mechanic* Irrigation Equipment Mechanic* Milking Machine Mechanic* Tractor Mechanic","=""49-3041""","47.6","52.9","5.3","11.1","5.4","43,880","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Farm labor contractors    * Farm Labor Contractor* Harvesting Contractor","=""13-1074""","0.2","0.3","0.0","10.6","0.0","47,780","No formal educational credential","8","Less than 5 years","2","Short-term on-the-job training","5"
"Farmers, ranchers, and other agricultural managers    * Agricultural Crop Farm Manager* Animal Husbandry Manager* Aquaculture Farm Manager* Beef Farm Operator* Christmas Tree Farm Manager* Dairy Farm Manager* Fish Hatchery Manager* Greenhouse Manager* Hatchery Manager* Orchard Manager","=""11-9013""","888.3","882.6","-5.8","-0.7","84.8","68,090","High school diploma or equivalent","7","5 years or more","1","None","6"
"Farmworkers and laborers, crop, nursery, and greenhouse    * Cane Cutter* Carrot Harvester* Citrus Picker* Corn Picker* Cotton Picker* Crop Picker* Flower Picker* Greenhouse Transplanter* Harvest Worker* Harvester* Orchard Hand* Orchard Worker* Pecan Gatherer* Pepper Picker* Vineyard Tender","=""45-2092""","526.3","554.3","28.0","5.3","87.4","28,660","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Farmworkers, farm, ranch, and aquacultural animals    * Aquaculture Worker* Barn Hand* Barn Worker* Cattle Brander* Cattle Driver* Chicken Handler* Chicken Vaccinator* Cow Tender* Egg Gatherer* Farrowing Worker* Goat Herder* Groom* Hatchery Worker* Livestock Handler* Poultry Debeaker* Ranch Hand* Sheep Shearer* Shrimp Pond Laborer","=""45-2093""","256.9","235.5","-21.3","-8.3","36.4","29,130","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Fashion designers    * Apparel Designer* Clothes Designer* Clothing Designer* Costume Designer* Custom Furrier* Dance Costume Designer* Dress Designer* Fashion Designer* Hat Designer* Sweater Designer* Uniform Designer","=""27-1022""","27.8","28.0","0.1","0.5","2.5","75,810","Bachelor's degree","3","None","4","None","6"
"Fast food and counter workers","=""35-3023""","3,455.5","3,973.0","517.5","15.0","804.6","23,860","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Fence erectors    * Chain Link Fence Installer* Fence Builder* Fence Erector* Wire Fence Builder* Wood Fence Installer","=""47-4031""","28.0","29.2","1.2","4.3","3.0","37,550","No formal educational credential","8","None","4","Moderate-term on-the-job training","4"
"Fiberglass laminators and fabricators","=""51-2051""","19.2","19.1","-0.1","-0.4","2.1","36,950","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"File clerks    * Cut File Clerk* Document Clerk* File Clerk* File Keeper* Index Clerk* Records Clerk","=""43-4071""","99.7","87.1","-12.6","-12.6","9.6","34,090","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Film and video editors    * Cue Selector* Electronic News Gathering Editor* Film Editor* Movie Editor* News Video Editor* News Videotape Editor* Tape Editor* Television News Video Editor* Video Tape Transferrer","=""27-4032""","33.0","43.9","11.0","33.2","4.7","67,250","Bachelor's degree","3","None","4","None","6"
"Financial and investment analysts, financial risk specialists, and financial specialists, all other","=""13-2098""","492.1","523.4","31.3","6.4","41.0","83,660","Bachelor's degree","3","None","4","None","6"
"Financial clerks, all other    * Bank Vault Attendant* Bank Vault Clerk* Bank Vault Custodian* Financial Operations Clerk* Financial Reserve Clerk* Safe Deposit Clerk* Safety Deposit Clerk* Vault Teller","=""43-3099""","31.9","34.3","2.4","7.5","3.7","44,160","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Financial examiners    * Bank Compliance Officer* Bank Examiner* Financial Compliance Examiner* Home Mortgage Disclosure Act Specialist* Payroll Examiner* Pension Examiner","=""13-2061""","70.8","83.5","12.7","17.9","6.9","81,430","Bachelor's degree","3","None","4","Long-term on-the-job training","3"
"Financial managers    * Banking Center Manager* Banking Manager* City Comptroller* City Treasurer* Comptroller* Credit Manager* Financial Director* Financial Officer* Fiscal Manager* International Bank Manager* Residential Mortgage Manager","=""11-3031""","681.7","799.9","118.2","17.3","64.2","134,180","Bachelor's degree","3","5 years or more","1","None","6"
"Fine artists, including painters, sculptors, and illustrators    * Book Illustrator* Caricature Artist* Comic Artist* Comic Book Artist* Comic Illustrator* Commercial Artist* Concrete Sculptor* Editorial Cartoonist* Fashion Illustrator* Free Lance Artist* Fresco Artist* Glass Artist* Ice Sculptor* Medical Illustrator* Mural Painter* Muralist* Non-Representational Metal Sculptor* Oil Painter* Pattern Illustrator* Political Cartoonist* Portrait Artist* Portrait Painter* Scientific Illustrator* Sketch Artist* Sports Cartoonist* Stained Glass Artist* Water Colorist* Watercolor Artist","=""27-1013""","25.9","30.4","4.5","17.3","3.3","52,340","Bachelor's degree","3","None","4","Long-term on-the-job training","3"
"Fire inspectors and investigators    * Arson Investigator* CFEI* Certified Fire Investigator* Certified Fire and Explosion Investigator* Certified Vehicle Fire Investigator* Fire Hazard Inspector* Fire Investigator* Fire Prevention Inspector* Fire Safety Inspector","=""33-2021""","14.7","16.0","1.3","8.9","1.7","64,610","Postsecondary nondegree award","5","5 years or more","1","Moderate-term on-the-job training","4"
"Firefighters    * Fire Engine Pump Operator* Fire Equipment Operator* Fire Fighter* Forest Firefighter* Marine Firefighter* Municipal Firefighter* Smoke Jumper* Wildland Firefighter","=""33-2011""","317.2","344.1","26.9","8.5","27.0","52,500","Postsecondary nondegree award","5","None","4","Long-term on-the-job training","3"
"First-line supervisors of construction trades and extraction workers    * Carpenter Supervisor* Drilling Foreman* Electrician Supervisor* Excavating Supervisor* Quarry Boss* Rig Supervisor* Roustabout Crew Leader* Segmental Paving Supervisor* Solar Panel Installation Supervisor","=""47-1011""","692.2","735.3","43.1","6.2","70.7","67,840","High school diploma or equivalent","7","5 years or more","1","None","6"
"First-line supervisors of correctional officers    * Chief Jailer* Correctional Officer Sergeant* Correctional Supervisor* Corrections Sergeant* Prison Guard Supervisor","=""33-1011""","55.3","53.8","-1.5","-2.8","4.1","60,910","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"First-line supervisors of farming, fishing, and forestry workers    * Animal Caretaker Supervisor* Aquacultural Worker Supervisor* Corn Crop Supervisor* Corral Boss* Cranberry Bog Supervisor* Farm Supervisor* Farrowing Manager* Feed Manager* Fish Hatchery Supervisor* Harvest Crew Supervisor* Harvest Manager* Logging Crew Supervisor* Picking Crew Supervisor* Planting Supervisor* Ranch Hand Supervisor","=""45-1011""","53.2","57.8","4.6","8.7","8.3","50,080","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"First-line supervisors of firefighting and prevention workers    * Fire Lieutenant* Municipal Fire Fighting and Prevention Supervisor* Supervising Fire Marshal","=""33-1021""","70.2","76.0","5.8","8.2","5.3","78,870","Postsecondary nondegree award","5","Less than 5 years","2","Moderate-term on-the-job training","4"
"First-line supervisors of food preparation and serving workers    * Banquet Supervisor* Bar Manager* Cafeteria Manager* Dairy Bar Manager* Food Service Supervisor* Head Waiter* Head Waitress* Kitchen Supervisor","=""35-1012""","915.4","1,106.1","190.8","20.8","167.2","34,570","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"First-line supervisors of gambling services workers","=""39-1013""","22.0","26.7","4.7","21.4","3.0","50,440","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"First-line supervisors of housekeeping and janitorial workers    * Building Cleaning Supervisor* Cleaning Staff Supervisor* Custodial Supervisor* Head Custodian* Head School Custodian* Janitor Supervisor* Maid Supervisor* Maintenance and Custodian Supervisor","=""37-1011""","225.5","238.8","13.2","5.9","27.3","42,040","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"First-line supervisors of landscaping, lawn service, and groundskeeping workers    * Gardening Supervisor* Greenskeeper Supervisor* Grounds Crew Supervisor* Grounds Foreman* Grounds Maintenance Supervisor* Head Greenskeeper* Horticultural Services Supervisor* Landscape Installation Foreman* Turf and Grounds Supervisor","=""37-1012""","181.3","188.6","7.3","4.0","19.7","51,010","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"First-line supervisors of mechanics, installers, and repairers    * Automobile Body Repair Supervisor* Body Shop Supervisor* Electronic Maintenance Supervisor* Fleet Maintenance Supervisor* Heating, Ventilation, and Air Conditioning Supervisor* Oil Field Equipment Mechanic Supervisor* Railroad Car Repair Supervisor* Repair Department Supervisor","=""49-1011""","484.1","515.8","31.7","6.6","47.4","70,240","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"First-line supervisors of non-retail sales workers    * Blood Donor Recruiter Supervisor* Insurance Sales Supervisor* Radio Time Sales Supervisor* Real Estate Sales Supervisor* Stock Broker Supervisor* Telemarketer Supervisor* Telemarketing Manager* Telesales Supervisor","=""41-1012""","376.4","357.6","-18.8","-5.0","30.6","78,560","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"First-line supervisors of office and administrative support workers    * Accounts Payable Supervisor* Billing Department Supervisor* Billing Supervisor* Clerical Supervisor* Data Entry Supervisor* Medical Billing Supervisor* Office Services Supervisor* Payroll Supervisor* Records Supervisor* Teller Supervisor* Timekeeping Supervisor","=""43-1011""","1,487.3","1,464.4","-22.9","-1.5","142.7","58,450","High school diploma or equivalent","7","Less than 5 years","2","None","6"
"First-line supervisors of personal service and entertainment and recreation workers, except gambling services","=""39-1098""","200.4","248.8","48.4","24.2","28.6","42,000","High school diploma or equivalent","7","Less than 5 years","2","None","6"
