,occ_code,occ_title,occ_group,tot_emp,h_mean,h_median,a_median,year
1033,47-5012,"Rotary Drill Operators, Oil and Gas",detailed,26480,29.36,25.56,53160,2014
1034,47-5013,"Service Unit Operators, Oil, Gas, and Mining",detailed,62080,24.78,21.62,44970,2014
1036,47-5021,"Earth Drillers, Except Oil and Gas",detailed,19160,24.42,20.93,43540,2014
1038,47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",detailed,7970,25.56,25.07,52140,2014
1040,47-5041,Continuous Mining Machine Operators,detailed,11540,23.4,23.29,48440,2014
1041,47-5042,Mine Cutting and Channeling Machine Operators,detailed,6960,23.51,24.16,50260,2014
1042,47-5049,"Mining Machine Operators, All Other",detailed,2470,23.49,23.63,49150,2014
1044,47-5051,"Rock Splitters, Quarry",detailed,3630,16.51,15.98,33240,2014
1046,47-5061,"Roof Bolters, Mining",detailed,5710,26.38,26.37,54860,2014
1048,47-5071,"Roustabouts, Oil and Gas",detailed,73450,18.12,17.2,35780,2014
1050,47-5081,Helpers--Extraction Workers,detailed,24130,17.36,16.58,34480,2014
1052,47-5099,"Extraction Workers, All Other",detailed,5320,21.43,19.78,41140,2014
1053,49-0000,"Installation, Maintenance, and Repair Occupations",major,5244670,21.74,20.25,42110,2014
1054,49-1000,"Supervisors of Installation, Maintenance, and Repair Workers",minor,434810,31.09,29.88,62150,2014
1056,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",detailed,434810,31.09,29.88,62150,2014
1057,49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",minor,572780,23.81,22.92,47660,2014
1059,49-2011,"Computer, Automated Teller, and Office Machine Repairers",detailed,110940,18.49,17.58,36560,2014
1061,49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",detailed,13310,23.98,23.05,47950,2014
1062,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",detailed,213620,26.26,26.53,55190,2014
1064,49-2091,Avionics Technicians,detailed,17150,28.11,27.36,56910,2014
1065,49-2092,"Electric Motor, Power Tool, and Related Repairers",detailed,17380,20.12,18.85,39220,2014
1066,49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",detailed,14160,26.65,26.92,56000,2014
1067,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",detailed,65900,26.74,26.27,54640,2014
1068,49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",detailed,22120,33.71,34.33,71400,2014
1069,49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",detailed,11460,15.83,14.92,31020,2014
1070,49-2097,Electronic Home Entertainment Equipment Installers and Repairers,detailed,26590,18.34,17.35,36090,2014
1071,49-2098,Security and Fire Alarm Systems Installers,detailed,60160,21.11,20.46,42560,2014
1072,49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",minor,1507680,20.25,18.97,39450,2014
1074,49-3011,Aircraft Mechanics and Service Technicians,detailed,116830,28.29,27.4,56990,2014
1076,49-3021,Automotive Body and Related Repairers,detailed,137140,21.09,19.38,40320,2014
1077,49-3022,Automotive Glass Installers and Repairers,detailed,15670,16.37,15.67,32590,2014
1078,49-3023,Automotive Service Technicians and Mechanics,detailed,633390,19.22,17.84,37120,2014
1080,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,detailed,243080,21.71,20.98,43630,2014
1082,49-3041,Farm Equipment Mechanics and Service Technicians,detailed,35320,17.94,17.38,36150,2014
1083,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",detailed,119280,23.42,22.88,47580,2014
1084,49-3043,Rail Car Repairers,detailed,20080,25.27,25.97,54020,2014
1086,49-3051,Motorboat Mechanics and Service Technicians,detailed,20210,18.56,17.95,37340,2014
1087,49-3052,Motorcycle Mechanics,detailed,15420,17.21,16.35,34010,2014
1088,49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,detailed,29220,16.22,15.44,32120,2014
1090,49-3091,Bicycle Repairers,detailed,10520,12.96,12.68,26370,2014
1091,49-3092,Recreational Vehicle Service Technicians,detailed,10990,17.8,17.13,35630,2014
1092,49-3093,Tire Repairers and Changers,detailed,100510,12.31,11.41,23730,2014
1093,49-9000,"Other Installation, Maintenance, and Repair Occupations",minor,2729400,20.64,19.13,39790,2014
1095,49-9011,Mechanical Door Repairers,detailed,17220,18.87,17.82,37080,2014
1096,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",detailed,41290,26.32,25.55,53140,2014
1098,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",detailed,261390,22.54,21.46,44630,2014
1100,49-9031,Home Appliance Repairers,detailed,33270,18.14,17.02,35410,2014
1102,49-9041,Industrial Machinery Mechanics,detailed,313880,24.25,23.38,48630,2014
1103,49-9043,"Maintenance Workers, Machinery",detailed,90730,21.18,20.5,42640,2014
1104,49-9044,Millwrights,detailed,39290,24.77,24.26,50460,2014
1105,49-9045,"Refractory Materials Repairers, Except Brickmasons",detailed,1730,22,21.59,44910,2014
1107,49-9051,Electrical Power-Line Installers and Repairers,detailed,114540,31.24,31.7,65930,2014
1108,49-9052,Telecommunications Line Installers and Repairers,detailed,114420,26.17,26.18,54450,2014
1110,49-9061,Camera and Photographic Equipment Repairers,detailed,3150,20.36,19.24,40020,2014
1111,49-9062,Medical Equipment Repairers,detailed,41430,23.34,21.95,45660,2014
1112,49-9063,Musical Instrument Repairers and Tuners,detailed,7660,17.4,15.94,33150,2014
1113,49-9064,Watch Repairers,detailed,2390,18.38,17.04,35450,2014
1114,49-9069,"Precision Instrument and Equipment Repairers, All Other",detailed,11180,25.06,25.04,52090,2014
1116,49-9071,"Maintenance and Repair Workers, General",detailed,1282920,18.46,17.39,36170,2014
1118,49-9081,Wind Turbine Service Technicians,detailed,3710,24.9,23.46,48800,2014
1120,49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",detailed,30840,16.1,15.32,31860,2014
1121,49-9092,Commercial Divers,detailed,3620,24.55,22.06,45890,2014
1122,49-9093,"Fabric Menders, Except Garment",detailed,710,12.03,11.5,23930,2014
1123,49-9094,Locksmiths and Safe Repairers,detailed,17090,19.53,18.56,38600,2014
1124,49-9095,Manufactured Building and Mobile Home Installers,detailed,3280,15.35,14.23,29600,2014
1125,49-9096,Riggers,detailed,20350,22.55,19.99,41570,2014
1126,49-9097,Signal and Track Switch Repairers,detailed,7880,28.81,29.15,60640,2014
1127,49-9098,"Helpers--Installation, Maintenance, and Repair Workers",detailed,126980,13.33,12.21,25390,2014
1128,49-9099,"Installation, Maintenance, and Repair Workers, All Other",detailed,138460,19.42,17.89,37220,2014
1129,51-0000,Production Occupations,major,8934050,17.06,15.25,31720,2014
1130,51-1000,Supervisors of Production Workers,minor,592830,28.39,26.69,55520,2014
1132,51-1011,First-Line Supervisors of Production and Operating Workers,detailed,592830,28.39,26.69,55520,2014
1133,51-2000,Assemblers and Fabricators,minor,1810560,15.25,14.08,29280,2014
1135,51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",detailed,40630,24.43,23.24,48340,2014
1137,51-2021,"Coil Winders, Tapers, and Finishers",detailed,14930,16.12,15.86,32980,2014
1138,51-2022,Electrical and Electronic Equipment Assemblers,detailed,207330,15.42,14.38,29910,2014
1139,51-2023,Electromechanical Equipment Assemblers,detailed,46990,16.5,15.75,32760,2014
1141,51-2031,Engine and Other Machine Assemblers,detailed,38330,19.32,18.42,38310,2014
1143,51-2041,Structural Metal Fabricators and Fitters,detailed,78050,18.35,17.58,36570,2014
1145,51-2091,Fiberglass Laminators and Fabricators,detailed,18770,14.57,13.92,28950,2014
1146,51-2092,Team Assemblers,detailed,1125160,14.78,13.64,28370,2014
1147,51-2093,Timing Device Assemblers and Adjusters,detailed,1650,16.94,14.45,30060,2014
1148,51-2099,"Assemblers and Fabricators, All Other",detailed,238720,13.81,12.68,26380,2014
1149,51-3000,Food Processing Workers,minor,767460,12.95,12.05,25060,2014
1151,51-3011,Bakers,detailed,173730,12.28,11.35,23600,2014
1153,51-3021,Butchers and Meat Cutters,detailed,137050,14.61,13.78,28660,2014
1154,51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",detailed,150310,11.63,11.23,23350,2014
1155,51-3023,Slaughterers and Meat Packers,detailed,86070,12.44,12.29,25560,2014
1157,51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",detailed,18890,14.14,13.31,27680,2014
1158,51-3092,Food Batchmakers,detailed,120850,13.84,12.87,26770,2014
1159,51-3093,Food Cooking Machine Operators and Tenders,detailed,36850,14.06,13.26,27590,2014
1160,51-3099,"Food Processing Workers, All Other",detailed,43690,12.11,11.43,23780,2014
1161,51-4000,Metal Workers and Plastic Workers,minor,1918310,18.33,17.37,36120,2014
1163,51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",detailed,148040,18.23,17.52,36440,2014
1164,51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",detailed,24960,24.13,22.84,47500,2014
1166,51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,72520,16.25,15.68,32610,2014
1167,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,21340,17.06,16.21,33710,2014
1168,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,33370,19.34,19.18,39900,2014
1170,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,190250,15.59,14.75,30680,2014
1171,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,17470,17.44,16.59,34500,2014
1172,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,70130,16.42,15.7,32660,2014
1173,51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,42570,17.96,17.43,36260,2014
1174,51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,22110,18.67,17.84,37100,2014
1176,51-4041,Machinists,detailed,392700,19.97,19.22,39980,2014
1178,51-4051,Metal-Refining Furnace Operators and Tenders,detailed,20850,19.83,19.78,41140,2014
1179,51-4052,"Pourers and Casters, Metal",detailed,9690,16.55,15.58,32410,2014
1181,51-4061,"Model Makers, Metal and Plastic",detailed,6140,23.26,22.2,46180,2014
1182,51-4062,"Patternmakers, Metal and Plastic",detailed,3770,20.03,19.9,41390,2014
1184,51-4071,Foundry Mold and Coremakers,detailed,11870,15.63,15.07,31340,2014
1185,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,128540,14.71,13.85,28810,2014
1187,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,98160,16.96,16.42,34140,2014
1189,51-4111,Tool and Die Makers,detailed,75950,24.08,23.5,48890,2014
1191,51-4121,"Welders, Cutters, Solderers, and Brazers",detailed,369610,19.25,17.99,37420,2014
1192,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",detailed,55360,17.53,16.91,35180,2014
1194,51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",detailed,20980,17.72,16.98,35320,2014
1195,51-4192,"Layout Workers, Metal and Plastic",detailed,13070,22.26,21.65,45020,2014
1196,51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,35900,15.54,14.52,30210,2014
1197,51-4194,"Tool Grinders, Filers, and Sharpeners",detailed,10860,17.97,17.03,35420,2014
1198,51-4199,"Metal Workers and Plastic Workers, All Other",detailed,22100,16.99,15.45,32130,2014
1199,51-5100,Printing Workers,minor,254360,17.29,16.47,34250,2014
1201,51-5111,Prepress Technicians and Workers,detailed,36180,18.75,17.89,37200,2014
1202,51-5112,Printing Press Operators,detailed,166750,17.64,16.87,35100,2014
1203,51-5113,Print Binding and Finishing Workers,detailed,51430,15.11,14.19,29500,2014
1204,51-6000,"Textile, Apparel, and Furnishings Workers",minor,574440,11.99,10.86,22590,2014
1206,51-6011,Laundry and Dry-Cleaning Workers,detailed,199330,10.66,9.77,20320,2014
1208,51-6021,"Pressers, Textile, Garment, and Related Materials",detailed,50150,10.22,9.69,20150,2014
1210,51-6031,Sewing Machine Operators,detailed,142070,11.54,10.54,21920,2014
1212,51-6041,Shoe and Leather Workers and Repairers,detailed,7710,12.42,11.43,23770,2014
1213,51-6042,Shoe Machine Operators and Tenders,detailed,3550,12.69,11.9,24750,2014
1215,51-6051,"Sewers, Hand",detailed,5960,12.01,11.36,23630,2014
1216,51-6052,"Tailors, Dressmakers, and Custom Sewers",detailed,20200,14.03,12.72,26460,2014
1218,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,detailed,11510,12.7,11.99,24930,2014
1219,51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",detailed,14370,12.86,12.3,25590,2014
1220,51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",detailed,22760,13.41,13.11,27270,2014
1221,51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",detailed,25740,12.83,12.62,26250,2014
1223,51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",detailed,19770,16.39,15.85,32970,2014
1224,51-6092,Fabric and Apparel Patternmakers,detailed,5440,22.73,19.86,41310,2014
1225,51-6093,Upholsterers,detailed,29770,16,15.33,31890,2014
1226,51-6099,"Textile, Apparel, and Furnishings Workers, All Other",detailed,16110,13.95,12.72,26460,2014
1227,51-7000,Woodworkers,minor,229870,14.78,13.9,28920,2014
1229,51-7011,Cabinetmakers and Bench Carpenters,detailed,88170,16.11,15.18,31580,2014
1231,51-7021,Furniture Finishers,detailed,15320,14.74,13.85,28810,2014
1233,51-7031,"Model Makers, Wood",detailed,1360,16.62,14.88,30940,2014
1234,51-7032,"Patternmakers, Wood",detailed,950,19.17,18.26,37980,2014
1236,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",detailed,46320,13.66,13,27040,2014
1237,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",detailed,70810,13.74,13.2,27450,2014
1239,51-7099,"Woodworkers, All Other",detailed,6940,15.1,13.51,28100,2014
1240,51-8000,Plant and System Operators,minor,315200,27.49,26.86,55870,2014
1242,51-8011,Nuclear Power Reactor Operators,detailed,7400,39.55,39.66,82500,2014
1243,51-8012,Power Distributors and Dispatchers,detailed,11180,37.58,37.62,78240,2014
1244,51-8013,Power Plant Operators,detailed,40300,33.28,33.69,70070,2014
1246,51-8021,Stationary Engineers and Boiler Operators,detailed,37550,27.92,27.08,56330,2014
1248,51-8031,Water and Wastewater Treatment Plant and System Operators,detailed,111640,22.18,21.2,44100,2014
1250,51-8091,Chemical Plant and System Operators,detailed,37490,27.01,26.88,55900,2014
1251,51-8092,Gas Plant Operators,detailed,16320,30.48,30.82,64100,2014
1252,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",detailed,41700,30.37,30.21,62830,2014
1253,51-8099,"Plant and System Operators, All Other",detailed,11610,26.56,26.55,55230,2014
1254,51-9000,Other Production Occupations,minor,2471030,16,14.56,30290,2014
1256,51-9011,Chemical Equipment Operators and Tenders,detailed,64710,23.63,23.12,48090,2014
1257,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",detailed,43310,19.78,18.55,38590,2014
1259,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",detailed,29980,16.68,15.9,33070,2014
1260,51-9022,"Grinding and Polishing Workers, Hand",detailed,29320,14.41,13.63,28340,2014
1261,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",detailed,122670,17.28,16.51,34340,2014
1263,51-9031,"Cutters and Trimmers, Hand",detailed,15520,13.54,12.46,25920,2014
1264,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",detailed,62570,15.85,15.4,32040,2014
1266,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",detailed,67490,16.09,15.43,32100,2014
1268,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",detailed,20590,17.69,16.78,34900,2014
1270,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",detailed,489750,18.46,16.99,35330,2014
1272,51-9071,Jewelers and Precious Stone and Metal Workers,detailed,23200,19.4,17.73,36870,2014
1274,51-9081,Dental Laboratory Technicians,detailed,35320,19.3,17.71,36830,2014
1275,51-9082,Medical Appliance Technicians,detailed,13290,18.75,17.11,35580,2014
1276,51-9083,Ophthalmic Laboratory Technicians,detailed,27610,14.95,13.89,28890,2014
1278,51-9111,Packaging and Filling Machine Operators and Tenders,detailed,381760,13.92,12.7,26410,2014
1280,51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",detailed,90590,15.81,15.13,31460,2014
1281,51-9122,"Painters, Transportation Equipment",detailed,49950,21.43,19.6,40770,2014
1282,51-9123,"Painting, Coating, and Decorating Workers",detailed,16280,14.68,13.82,28750,2014
1284,51-9141,Semiconductor Processors,detailed,23580,17.68,16.67,34680,2014
1286,51-9151,Photographic Process Workers and Processing Machine Operators,detailed,28800,13.68,11.83,24600,2014
1288,51-9191,Adhesive Bonding Machine Operators and Tenders,detailed,18210,16.28,15.07,31340,2014
1289,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",detailed,17360,13.82,12.94,26910,2014
1290,51-9193,Cooling and Freezing Equipment Operators and Tenders,detailed,8070,14.8,13.6,28280,2014
1291,51-9194,Etchers and Engravers,detailed,8630,15.02,14.06,29250,2014
1292,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",detailed,34610,15.24,14.34,29820,2014
1293,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",detailed,92170,17.57,16.95,35260,2014
1294,51-9197,Tire Builders,detailed,17680,20.17,20.45,42540,2014
1295,51-9198,Helpers--Production Workers,detailed,420520,12.31,11.35,23610,2014
1296,51-9199,"Production Workers, All Other",detailed,217500,15.08,13.59,28260,2014
1297,53-0000,Transportation and Material Moving Occupations,major,9249310,16.57,14.2,29530,2014
1298,53-1000,Supervisors of Transportation and Material Moving Workers,minor,374480,25.72,24.36,50660,2014
1300,53-1011,Aircraft Cargo Handling Supervisors,detailed,5750,24.41,22.96,47760,2014
1302,53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",detailed,171720,23.55,22.45,46690,2014
1304,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,detailed,197000,27.66,26.41,54930,2014
1305,53-2000,Air Transportation Workers,minor,242350,*,*,70060,2014
1307,53-2011,"Airline Pilots, Copilots, and Flight Engineers",detailed,75760,*,*,118140,2014
1308,53-2012,Commercial Pilots,detailed,38170,*,*,75620,2014
1310,53-2021,Air Traffic Controllers,detailed,22860,57.11,58.82,122340,2014
1311,53-2022,Airfield Operations Specialists,detailed,7050,24.61,23.64,49180,2014
1313,53-2031,Flight Attendants,detailed,98510,*,*,42290,2014
1314,53-3000,Motor Vehicle Operators,minor,3741430,17.29,16.15,33590,2014
1316,53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",detailed,19350,12.26,11.58,24080,2014
1318,53-3021,"Bus Drivers, Transit and Intercity",detailed,158050,18.95,18.02,37470,2014
1319,53-3022,"Bus Drivers, School or Special Client",detailed,499440,14.38,13.87,28850,2014
1321,53-3031,Driver/Sales Workers,detailed,405810,13.33,10.7,22250,2014
1322,53-3032,Heavy and Tractor-Trailer Truck Drivers,detailed,1625290,20.16,19,39520,2014
1323,53-3033,Light Truck or Delivery Services Drivers,detailed,797010,16.28,14.21,29570,2014
1325,53-3041,Taxi Drivers and Chauffeurs,detailed,178260,12.35,11.16,23210,2014
1327,53-3099,"Motor Vehicle Operators, All Other",detailed,58210,16.02,13.9,28910,2014
1328,53-4000,Rail Transportation Workers,minor,122870,26.75,26.15,54380,2014
1330,53-4011,Locomotive Engineers,detailed,38470,27.41,26.2,54500,2014
1331,53-4012,Locomotive Firers,detailed,1610,25.81,22.47,46740,2014
1332,53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",detailed,3900,21.54,21.1,43880,2014
1334,53-4021,"Railroad Brake, Signal, and Switch Operators",detailed,21060,25.14,25.17,52360,2014
1336,53-4031,Railroad Conductors and Yardmasters,detailed,42900,26.84,26.33,54770,2014
1338,53-4041,Subway and Streetcar Operators,detailed,11300,28.48,29.87,62130,2014
1340,53-4099,"Rail Transportation Workers, All Other",detailed,3640,28.82,28.59,59480,2014
1341,53-5000,Water Transportation Workers,minor,72450,29.73,25.54,53130,2014
1343,53-5011,Sailors and Marine Oilers,detailed,27640,19.7,18.8,39100,2014
1345,53-5021,"Captains, Mates, and Pilots of Water Vessels",detailed,30690,38.07,34.78,72340,2014
1346,53-5022,Motorboat Operators,detailed,4060,19.78,17.85,37120,2014
1348,53-5031,Ship Engineers,detailed,10060,35.87,32.74,68100,2014
1349,53-6000,Other Transportation Workers,minor,331570,13.6,10.64,22130,2014
1351,53-6011,Bridge and Lock Tenders,detailed,3280,22.22,23.14,48120,2014
1353,53-6021,Parking Lot Attendants,detailed,136440,10.39,9.52,19800,2014
1355,53-6031,Automotive and Watercraft Service Attendants,detailed,104750,10.9,10.05,20900,2014
1357,53-6041,Traffic Technicians,detailed,6490,22.38,20.88,43430,2014
1359,53-6051,Transportation Inspectors,detailed,24350,34.05,33.26,69170,2014
1361,53-6061,"Transportation Attendants, Except Flight Attendants",detailed,16380,13.01,11.24,23380,2014
1363,53-6099,"Transportation Workers, All Other",detailed,39890,17.28,16.25,33790,2014
1364,53-7000,Material Moving Workers,minor,4364160,13.52,11.92,24790,2014
1366,53-7011,Conveyor Operators and Tenders,detailed,38830,16.35,15.01,31220,2014
1368,53-7021,Crane and Tower Operators,detailed,44540,25.75,24.39,50720,2014
1370,53-7031,Dredge Operators,detailed,1900,21.94,19.69,40950,2014
1371,53-7032,Excavating and Loading Machine and Dragline Operators,detailed,47470,21.23,19.15,39830,2014
1372,53-7033,"Loading Machine Operators, Underground Mining",detailed,4220,22.84,24.18,50290,2014
1374,53-7041,Hoist and Winch Operators,detailed,2840,23.47,19.03,39580,2014
1376,53-7051,Industrial Truck and Tractor Operators,detailed,521840,16.02,15.07,31340,2014
1378,53-7061,Cleaners of Vehicles and Equipment,detailed,321740,11.22,9.94,20670,2014
1379,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",detailed,2400490,13.07,11.74,24430,2014
1380,53-7063,Machine Feeders and Offbearers,detailed,104340,14.73,14.08,29290,2014
1381,53-7064,"Packers and Packagers, Hand",detailed,693170,11.08,9.77,20330,2014
1383,53-7071,Gas Compressor and Gas Pumping Station Operators,detailed,4700,26.65,27.06,56280,2014
1384,53-7072,"Pump Operators, Except Wellhead Pumpers",detailed,12170,22.45,20.91,43500,2014
1385,53-7073,Wellhead Pumpers,detailed,12720,23.36,22.76,47340,2014
1387,53-7081,Refuse and Recyclable Material Collectors,detailed,115170,17.32,16.18,33660,2014
1389,53-7111,Mine Shuttle Car Operators,detailed,2630,26.36,26.44,55000,2014
1391,53-7121,"Tank Car, Truck, and Ship Loaders",detailed,12490,21.41,19.8,41180,2014
1393,53-7199,"Material Moving Workers, All Other",detailed,22910,18.19,14.82,30830,2014
1,11-0000,Management Occupations,major,6936990,55.3,47.38,98560,2015
2,11-1000,Top Executives,minor,2439900,59.71,48.53,100940,2015
4,11-1011,Chief Executives,detailed,238940,89.35,84.19,175110,2015
6,11-1021,General and Operations Managers,detailed,2145140,57.44,46.99,97730,2015
8,11-1031,Legislators,detailed,55820,*,*,20500,2015
9,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,647360,63.3,56.16,116810,2015
11,11-2011,Advertising and Promotions Managers,detailed,29340,54.62,46.1,95890,2015
13,11-2021,Marketing Managers,detailed,192890,67.63,61.9,128750,2015
14,11-2022,Sales Managers,detailed,364750,62.69,54.74,113860,2015
16,11-2031,Public Relations and Fundraising Managers,detailed,60380,57.4,50.07,104140,2015
17,11-3000,Operations Specialties Managers,minor,1663790,58.12,52.05,108260,2015
19,11-3011,Administrative Services Managers,detailed,270080,45.6,41.4,86110,2015
21,11-3021,Computer and Information Systems Managers,detailed,341250,67.79,63.27,131600,2015
23,11-3031,Financial Managers,detailed,531120,64.58,56.73,117990,2015
25,11-3051,Industrial Production Managers,detailed,169390,49.87,45.17,93940,2015
27,11-3061,Purchasing Managers,detailed,72600,54.87,51.98,108120,2015
29,11-3071,"Transportation, Storage, and Distribution Managers",detailed,109210,45.74,41.65,86630,2015
31,11-3111,Compensation and Benefits Managers,detailed,15930,58.48,53.57,111430,2015
33,11-3121,Human Resources Managers,detailed,122780,56.29,50.21,104440,2015
35,11-3131,Training and Development Managers,detailed,31430,53.69,49.35,102640,2015
36,11-9000,Other Management Occupations,minor,2185950,45.85,41.29,85880,2015
38,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,4370,33.6,30.85,64170,2015
40,11-9021,Construction Managers,detailed,239640,46.88,42.02,87400,2015
42,11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,46760,25.37,21.96,45670,2015
43,11-9032,"Education Administrators, Elementary and Secondary School",detailed,235110,*,*,90410,2015
44,11-9033,"Education Administrators, Postsecondary",detailed,135690,49.33,42.59,88580,2015
45,11-9039,"Education Administrators, All Other",detailed,31880,39.89,36.99,76930,2015
47,11-9041,Architectural and Engineering Managers,detailed,179770,68.1,63.85,132800,2015
49,11-9051,Food Service Managers,detailed,201370,25.79,23.41,48690,2015
51,11-9061,Funeral Service Managers,detailed,8300,40.61,34.08,70890,2015
53,11-9071,Gaming Managers,detailed,3950,37.39,32.88,68380,2015
55,11-9081,Lodging Managers,detailed,35480,27.79,23.91,49720,2015
57,11-9111,Medical and Health Services Managers,detailed,314950,50.99,45.43,94500,2015
59,11-9121,Natural Sciences Managers,detailed,53450,65.66,57.77,120160,2015
61,11-9131,Postmasters and Mail Superintendents,detailed,14770,33.92,33.96,70640,2015
63,11-9141,"Property, Real Estate, and Community Association Managers",detailed,174410,32.81,26.63,55380,2015
65,11-9151,Social and Community Service Managers,detailed,119770,33.38,30.54,63530,2015
67,11-9161,Emergency Management Directors,detailed,9840,35.46,32.37,67330,2015
69,11-9199,"Managers, All Other",detailed,376440,53.47,50.41,104850,2015
70,13-0000,Business and Financial Operations Occupations,major,7032560,35.48,31.59,65710,2015
71,13-1000,Business Operations Specialists,minor,4424800,34.09,31.01,64510,2015
73,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,13230,46.06,30.26,62940,2015
75,13-1021,"Buyers and Purchasing Agents, Farm Products",detailed,12160,29.94,27.05,56270,2015
76,13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,111200,28.5,25.45,52940,2015
77,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,291540,31.79,29.91,62220,2015
79,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,271600,30.91,30.28,62980,2015
80,13-1032,"Insurance Appraisers, Auto Damage",detailed,15270,31.39,30.78,64020,2015
82,13-1041,Compliance Officers,detailed,257010,33.26,31.56,65640,2015
84,13-1051,Cost Estimators,detailed,216270,31.16,29.03,60390,2015
86,13-1071,Human Resources Specialists,detailed,491090,30.63,28.06,58350,2015
87,13-1074,Farm Labor Contractors,detailed,1230,21.11,14.86,30910,2015
88,13-1075,Labor Relations Specialists,detailed,79330,29.3,28.28,58820,2015
90,13-1081,Logisticians,detailed,133770,37.25,35.7,74260,2015
92,13-1111,Management Analysts,detailed,614110,44.12,39.1,81320,2015
94,13-1121,"Meeting, Convention, and Event Planners",detailed,87400,24.62,22.52,46840,2015
